model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/tsdae_coursera/google-bert/bert-base-uncased,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,3612,4a2adc186b51,1,0.7541017532348633,0.7541017532348633,3.4860360622406006,0.0,0.4285714328289032,0.0,0
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/tsdae_coursera/google-bert/bert-base-uncased,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,4793,ecfb3bfe17da,2,0.7199124693870544,0.7199124693870544,3.2230687141418457,0.0,0.8571428656578064,0.0,0
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/tsdae_coursera/google-bert/bert-base-uncased,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,1792,0be97b2fe6a9,3,0.7079735994338989,0.7079735994338989,3.1312408447265625,0.0,0.5714285969734192,0.0,0
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/tsdae_coursera/google-bert/bert-base-uncased,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,3595,8639c05835d2,4,0.6977611780166626,0.6977611780166626,3.05269193649292,0.0,0.5714285969734192,0.0,0
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/tsdae_coursera/google-bert/bert-base-uncased,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,2151,b2b7074805f7,5,0.6962025761604309,0.6962025761604309,3.040703773498535,0.0,0.7777777910232544,0.0,0
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/tsdae_coursera/google-bert/bert-base-uncased,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,3213,e73f40d83ac6,6,0.6920825839042664,0.6920825839042664,3.009014844894409,0.0,0.5833333134651184,0.0,0
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/tsdae_coursera/google-bert/bert-base-uncased,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,688,675b456b5403,7,0.6870713829994202,0.6870713829994202,2.970471143722534,0.0,0.4117647111415863,0.0,0
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/tsdae_coursera/google-bert/bert-base-uncased,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,2149,ce5275d1f549,8,0.6849796175956726,0.6849796175956726,2.9543821811676025,0.0,0.7142857313156128,0.0,0
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/tsdae_coursera/google-bert/bert-base-uncased,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,3780,5279f5c334f7,9,0.6835883855819702,0.6835883855819702,2.9436817169189453,0.0,1.0,0.0,0
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/tsdae_coursera/google-bert/bert-base-uncased,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,1675,8335d26464b5,10,0.6795185208320618,0.6795185208320618,2.9123780727386475,0.0,0.7142857313156128,0.0,0
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/tsdae_coursera/google-bert/bert-base-uncased,A_semantic_only,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,0.7487647533416748,0.7487647533416748,4.180592060089111,0.3333333432674408,0.5,1.0,0
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/tsdae_coursera/google-bert/bert-base-uncased,A_semantic_only,1,06d678da6c8d,prepare procedural documents,1702,6b306e6c84b1,2,0.7185684442520142,0.7185684442520142,3.8751707077026367,0.20000000298023224,1.0,0.7181130647659302,0
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/tsdae_coursera/google-bert/bert-base-uncased,A_semantic_only,1,06d678da6c8d,prepare procedural documents,3213,e73f40d83ac6,3,0.7015494704246521,0.7015494704246521,3.7030317783355713,0.0,0.3333333432674408,0.0,0
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/tsdae_coursera/google-bert/bert-base-uncased,A_semantic_only,1,06d678da6c8d,prepare procedural documents,2899,02494e9ed104,4,0.6941399574279785,0.6941399574279785,3.6280882358551025,0.0,1.0,0.0,0
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/tsdae_coursera/google-bert/bert-base-uncased,A_semantic_only,1,06d678da6c8d,prepare procedural documents,758,077b37efd178,5,0.6798968315124512,0.6798968315124512,3.484025716781616,0.0,1.0,0.0,0
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/tsdae_coursera/google-bert/bert-base-uncased,A_semantic_only,1,06d678da6c8d,prepare procedural documents,4856,8854c5efcfea,6,0.6783694624900818,0.6783694624900818,3.4685771465301514,0.0,0.75,0.0,0
