model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn,score_top2,margin_top1_top2,is_rel
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,1.024283277988434,0.5769397020339966,4.801148891448975,0.1666666716337204,0.4285714328289032,1.0,1,0.653153121471405,0.3711301565170291,False
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2365,103eab151086,1,0.9776134371757508,0.5369390249252319,3.163090229034424,0.2222222238779068,0.2307692319154739,1.0,1,0.9470386981964112,0.0305747389793396,False
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,7,bfcc3cdee21d,devise research or testing protocols,52,3c87def9324a,1,0.9519341468811036,0.5786114931106567,4.479097843170166,0.2000000029802322,0.5,0.7492950558662415,1,0.8227622389793396,0.12917190790176392,False
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,4868,4d414f6fd118,1,1.006298053264618,0.7047295570373535,5.3584418296813965,0.0909090936183929,0.2307692319154739,0.7015606164932251,1,0.8196672677993775,0.18663078546524048,False
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,9,3cdbc3929112,develop technical methods or processes,80,5402ba93471c,1,1.031922745704651,0.6454418897628784,3.902374744415283,0.1666666716337204,0.6666666865348816,0.7678654789924622,1,1.00428204536438,0.027640700340270996,False
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,14,ccf9fc39d00f,estimate time requirements for development or production projects,3033,fd89784e59c7,1,0.956375288963318,0.5598458647727966,3.798525094985962,0.1666666716337204,0.2222222238779068,0.9113318920135498,1,0.8660733580589295,0.09030193090438854,False
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,20,1bd49058235f,advise customers on the use of products or services,3025,5653d4592b47,1,1.01838116645813,0.5308579206466675,3.136527299880981,0.0909090936183929,1.0,0.9882408380508424,1,0.777678656578064,0.24070250988006592,False
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,22,bab0b2935945,"analyze operational data to evaluate operations, processes or products",4507,4308d262ba90,1,0.9788454055786132,0.5781797170639038,3.252943515777588,0.2000000029802322,0.6000000238418579,0.7987847328186035,1,0.8959399938583374,0.08290541172027577,False
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,31,53acfaed8c01,supervise employees,3566,581ac2a59c21,1,0.9708157062530518,0.530683159828186,3.341914653778076,0.1666666716337204,0.3333333432674408,1.0,1,0.6443371653556824,0.3264785408973694,False
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,38,a3c08ed1a115,confer with organizational members to accomplish work activities,2111,8cb3848302c6,1,1.0134677767753602,0.6370515823364258,4.070876121520996,0.1428571492433548,0.3333333432674408,0.8467543125152588,1,0.8676620602607727,0.1458057165145874,False
