model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn,is_rel
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,1.024283277988434,0.5769397020339966,4.801148891448975,0.1666666716337204,0.4285714328289032,1.0,1,False
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,4058,74fe0528c27f,2,0.653153121471405,0.3526172637939453,2.6111364364624023,0.1111111119389534,0.8571428656578064,0.6006578207015991,0,False
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,4880,995c33174219,3,0.558790671825409,0.475418746471405,3.81002140045166,0.0,0.5714285969734192,0.0,1,False
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,461,74295bd1e6b4,4,0.4247684955596923,0.1425287127494812,0.5600862503051758,0.0,0.5714285969734192,0.5206381678581238,1,False
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,2935,6fb39caadfac,5,0.4292539834976196,0.3541019558906555,2.625631332397461,0.0,0.4285714328289032,0.0,1,False
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,2198,d24136be4b15,6,0.4136556088924408,0.1921201795339584,1.04423725605011,0.0,0.7142857313156128,0.4563224911689758,0,False
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,3844,9d3455eb929f,7,0.4748860776424408,0.3570229411125183,2.6541481018066406,0.0,0.8571428656578064,0.0,1,False
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,2539,8657d3271db0,8,0.4725703477859497,0.3696229457855224,2.7771594524383545,0.0,0.7142857313156128,0.0,1,False
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,4855,0e550c83c7ff,9,0.4613906323909759,0.3879300057888031,2.9558873176574707,0.0,0.4285714328289032,0.0,1,False
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,3762,3f9e06094af7,10,0.435163140296936,0.2182067781686782,1.298915147781372,0.0,0.8571428656578064,0.4061498343944549,0,False
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,1.097803521156311,0.611723005771637,4.552754878997803,0.3333333432674408,0.5,1.0,1,False
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,2,0.969283151626587,0.528112530708313,3.768004894256592,0.25,0.75,0.8359322547912598,1,False
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,1,06d678da6c8d,prepare procedural documents,1702,6b306e6c84b1,3,1.0085703015327454,0.5970849394798279,4.415365219116211,0.2000000029802322,1.0,0.7181130647659302,1,False
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,1,06d678da6c8d,prepare procedural documents,4558,7b0342e1d11a,4,0.777512001991272,0.459162026643753,3.120850086212158,0.1428571492433548,0.6666666865348816,0.560200035572052,1,False
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,1,06d678da6c8d,prepare procedural documents,4310,506583358173,5,0.7585341811180115,0.4696550965309143,3.2193357944488525,0.1428571492433548,0.5714285969734192,0.5047074556350708,1,False
