model,score_top1,score_top2,margin_top1_top2
sentence_transformers_all_distilroberta_v1,1.8014286088943483,1.8014285999536517,8.940696627490752e-09
sentence_transformers_paraphrase_MiniLM_L3_v2,1.7966666954755783,1.7938428457959146,0.002823849679663759
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,1.805625828347948,1.8014286088943483,0.004197219453599743
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_hard_sentence_transformers_all_MiniLM_L6_v2,1.805625828347948,1.8014286088943483,0.004197219453599743
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_sup_sentence_transformers_all_MiniLM_L6_v2,1.805625828347948,1.8014286088943483,0.004197219453599743
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_tsdae_google_bert_bert_base_uncased,1.805625828347948,1.8014286088943483,0.004197219453599743
sentence_transformers_all_MiniLM_L6_v2,1.805625828347948,1.8014286088943483,0.004197219453599743
sentence_transformers_sentence_t5_base,1.805625828347948,1.8014286088943483,0.004197219453599743
sentence_transformers_all_mpnet_base_v2,1.8008839399202228,1.7951049322179735,0.005779007702249261
embedding_data_deberta_sentence_transformer,1.805625828347948,1.7985952442101372,0.00703058413781088
sentence_transformers_distiluse_base_multilingual_cased_v2,1.805625828347948,1.7985952442101372,0.00703058413781088
sentence_transformers_paraphrase_albert_small_v2,1.804349007449892,1.7972083037308586,0.007140703719033414
