q_idx,q_text,rank,score,sim,z,jacc,lenpen,bm25,mnn,cand_idx,cand_label,cand_text,score2,sim2,margin_top1_top2,delta_sim_top1_top2,accepted,near_threshold
0,train personnel on proper operational procedures,1,1.714110797701633,0.6296172142028809,2.421759843826294,0.2222222238779068,0.0911607617303137,1.0,1,37,78a6d412d86e,monitor organizational procedures to ensure proper functioning,1.2466840211820098,0.5975903868675232,0.46742677651962317,0.032026827335357666,True,False
1,prepare procedural documents,1,1.730000025331974,0.6763184070587158,2.845137357711792,0.5,0.0,1.0,1,77,9b108680399f,prepare proposal documents,1.110884155703368,0.5651623606681824,0.6191158696286061,0.11115604639053345,True,False
2,"recommend technical design or process changes to improve efficiency, quality, or performance",1,1.4318130067054076,0.7500577569007874,4.15471887588501,0.1818181872367859,0.4054650386637325,0.5410330217665478,1,29,ef7349785e11,implement design or process improvements,1.2624055661330384,0.5819971561431885,0.16940744057236912,0.16806060075759888,True,False
5,design medical devices or appliances,1,1.3908971123442695,0.7206270694732666,3.4591426849365234,0.125,0.1115717506571105,0.4243632379262217,1,70,d5bb4574fc4d,design electronic or computer equipment or instrumentation,1.325245571819692,0.567612886428833,0.06565154052457745,0.1530141830444336,True,False
9,develop technical methods or processes,1,1.7207173991203308,0.745762825012207,3.113154888153076,0.3333333432674408,0.0,1.0,1,48,23ca56c5d573,develop organizational methods or procedures,1.4959931316143762,0.72221440076828,0.22472426750595464,0.023548424243927002,True,False
13,estimate operational costs,1,1.7356159291543058,0.7326080799102783,3.915799379348755,0.4000000059604645,0.1438409945592359,1.0,1,88,d1809a4492b8,estimate costs of goods or services,0.5268527670463592,0.3989425599575043,1.2087631621079467,0.33366551995277405,True,False
18,update technical knowledge,1,1.7703426701669596,0.5766156315803528,3.4127840995788574,0.125,0.3465735069466602,1.0,1,52,7f83579eb5ca,maintain knowledge of current developments in area of expertise,1.1605386928742971,0.510337769985199,0.6098039772926624,0.06627786159515381,True,False
19,evaluate characteristics of equipment or systems,1,1.6578137069593843,0.6904891133308411,2.626589298248291,0.2857142984867096,0.1115717506571105,0.915841584158416,1,84,c6940290ea74,develop technical specifications for systems or equipment,1.0694783061314952,0.5728751420974731,0.5883354008278892,0.11761397123336792,True,False
20,advise customers on the use of products or services,1,1.7800000298023224,0.7238972783088684,4.236146926879883,0.25,0.0,1.0,1,198,edb3d68bc36f,advise customers on technical or procedural issues,1.0009771856899272,0.4903489351272583,0.7790228441123952,0.2335483431816101,True,False
21,develop software or computer applications,1,1.5912677548207337,0.5244964957237244,2.375085830688477,0.1666666716337204,0.1438409945592359,1.0,1,200,9ff41f315fd5,operate computer systems,1.42384826768784,0.5716339349746704,0.16741948713289379,-0.047137439250946045,True,False
22,"analyze operational data to evaluate operations, processes or products",1,1.7622924916370175,0.8267179131507874,3.592415571212769,0.3000000119209289,0.077075328008869,1.0,1,36,e5bfe7745119,analyze data to inform operational decisions or activities,0.9750761348124044,0.5006415247917175,0.7872163568246131,0.3260763883590698,True,False
37,monitor organizational procedures to ensure proper functioning,1,1.761070478052495,0.7250683307647705,2.6556828022003174,0.2727272808551788,0.14384101539256,1.0,1,191,a9be4c9c15a1,monitor operational procedures in technical environments to ensure conformance to standards,1.4665339972294231,0.6922897100448608,0.29453648082307193,0.03277862071990967,True,False
54,determine causes of operational problems or failures,1,1.5944879364355058,0.6049693822860718,2.402223825454712,0.2857142984867096,0.1115717506571105,1.0,1,100,6002eddcd7d0,resolve operational performance problems,1.571475763179174,0.6639435291290283,0.023012173256331758,-0.05897414684295654,True,False
68,document technical design details,1,1.7616999980195016,0.6908981800079346,3.017176866531372,0.2857142984867096,0.1115717506571105,1.0,1,194,094e12b11051,review details of technical drawings or specifications,1.4851490005628598,0.5978697538375854,0.2765509974566418,0.09302842617034912,True,False
73,"select tools, equipment, or technologies for use in operations or projects",1,1.3297304653355246,0.6426463723182678,2.644713878631592,0.1111111119389534,0.4236488349555293,0.3775964898666599,1,75,f634ee56b726,design industrial equipment,1.2463617642727516,0.5290623307228088,0.08336870106277305,0.11358404159545898,True,False
74,install production equipment or systems,1,1.41011251084779,0.6900973320007324,3.183736562728882,0.1666666716337204,0.1438409945592359,0.468328449754479,1,137,a4f4cc8a14a2,operate industrial equipment,1.3758386168480137,0.6010243892669678,0.03427389399977643,0.08907294273376465,True,False
89,"assess the cost effectiveness of products, projects, or services",1,1.651706798672676,0.6460805535316467,2.8564491271972656,0.2000000029802322,0.0,1.0,1,172,2c5271f1a3e4,analyze data to assess operational or project effectiveness,1.052587443107626,0.5744388103485107,0.5991193555650498,0.07164174318313599,True,False
98,estimate technical or resource requirements for development or production projects,1,1.6972924940212033,0.761930525302887,4.16309118270874,0.625,0.077075328008869,1.0,1,14,ccf9fc39d00f,estimate time requirements for development or production projects,0.7046884147298935,0.5690853595733643,0.9926040792913098,0.1928451657295227,True,False
99,assess product or process usefulness,1,1.4595154807179855,0.6010152697563171,2.1323375701904297,0.1111111119389534,0.2027325123874243,0.8531977372854205,1,89,b03b706832f2,"assess the cost effectiveness of products, projects, or services",1.1621938955171556,0.4727913737297058,0.29732158520082996,0.12822389602661133,True,False
104,analyze costs and benefits of proposed designs or projects,1,1.533990163222441,0.6920654773712158,3.292726516723633,0.0909090936183929,0.0,0.6031028100642263,1,89,b03b706832f2,"assess the cost effectiveness of products, projects, or services",0.9430753036516136,0.4845497906208038,0.5909148595708275,0.20751568675041204,True,False
121,prepare reports related to compliance matters,1,1.7377920747062707,0.6657445430755615,2.894407033920288,0.3333333432674408,0.2554127452163465,1.0,1,30,c6a87cc5d35e,prepare operational reports,1.4653064156867095,0.5753898024559021,0.27248565901956123,0.09035474061965942,True,False
135,assemble equipment or components,1,1.7377920747062707,0.886454164981842,4.24813175201416,0.3333333432674408,0.2554127452163465,1.0,1,161,f1f35b083d3a,assemble mechanical components or machine parts,0.4456303658761408,0.413594126701355,1.2921617088301298,0.47286003828048706,True,False
156,direct quality control activities,1,1.676571986067315,0.5673854351043701,2.797930955886841,0.2857142984867096,0.1115717506571105,0.878388554354019,1,50,a787a095d9b0,direct facility maintenance or repair activities,1.327726558022936,0.4798693656921386,0.3488454280443789,0.0875160694122315,True,False
165,test characteristics of materials or structures,1,1.7616999980195016,0.7027525901794434,3.710896015167236,0.2857142984867096,0.1115717506571105,1.0,1,190,c2a2570c95d4,test quality of materials or finished products,0.7667056571388217,0.3747181594371795,0.99499434088068,0.32803443074226385,True,False
