model,preset,thr,f1,precision,recall,coverage,queries
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_base/sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,0.55,0.36000000000000004,0.24324324324324326,0.6923076923076923,0.43023255813953487,86
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_base/sentence-transformers/all-MiniLM-L6-v2,B_hybrid_light,0.9000000000000001,0.43243243243243246,0.2962962962962963,0.8,0.627906976744186,86
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_base/sentence-transformers/all-MiniLM-L6-v2,C_lex_sem_strong,-1.0,0.36190476190476195,0.22093023255813954,1.0,1.0,86
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_base/sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,0.9000000000000001,0.4444444444444444,0.3076923076923077,0.8,0.6046511627906976,86
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_base/sentence-transformers/all-MiniLM-L6-v2,E_diversity,0.8500000000000001,0.43037974683544306,0.288135593220339,0.85,0.686046511627907,86
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_base/sentence-transformers/all-MiniLM-L6-v2,F_recall_first,0.6500000000000001,0.41304347826086957,0.2638888888888889,0.95,0.8372093023255814,86
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_base/sentence-transformers/all-MiniLM-L6-v2,G_mnn_heavy,0.9000000000000001,0.4337349397590361,0.2857142857142857,0.9,0.7325581395348837,86
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_base/sentence-transformers/all-MiniLM-L6-v2,H_zfilter,0.8,0.43181818181818177,0.27941176470588236,0.95,0.7906976744186046,86
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_base/sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,0.9500000000000002,0.45070422535211263,0.3137254901960784,0.8,0.5930232558139535,86
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_base/sentence-transformers/all-MiniLM-L6-v2,J_char_heavy,1.0,0.4210526315789474,0.26666666666666666,1.0,0.872093023255814,86
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_hard/sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,0.6000000000000001,0.3157894736842105,0.3333333333333333,0.3,0.10465116279069768,86
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_hard/sentence-transformers/all-MiniLM-L6-v2,B_hybrid_light,0.9500000000000002,0.3921568627450981,0.29411764705882354,0.5882352941176471,0.3953488372093023,86
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_hard/sentence-transformers/all-MiniLM-L6-v2,C_lex_sem_strong,1.0,0.30303030303030304,0.17857142857142858,1.0,0.9767441860465116,86
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_hard/sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,0.9500000000000002,0.43478260869565216,0.35714285714285715,0.5555555555555556,0.32558139534883723,86
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_hard/sentence-transformers/all-MiniLM-L6-v2,E_diversity,0.9500000000000002,0.4444444444444445,0.35714285714285715,0.5882352941176471,0.32558139534883723,86
