query_text,cand_text,label
train personnel on proper operational procedures,instructional design,positive
train personnel on proper operational procedures,leadership,positive
train personnel on proper operational procedures,application security,negative
train personnel on proper operational procedures,network defensive tactics,negative
prepare procedural documents,process improvement,positive
prepare procedural documents,project management,positive
prepare procedural documents,cybersecurity,negative
prepare procedural documents,threat intelligence,negative
"recommend technical design or process changes to improve efficiency, quality, or performance",systems design,positive
"recommend technical design or process changes to improve efficiency, quality, or performance",six sigma,positive
"recommend technical design or process changes to improve efficiency, quality, or performance",digital marketing,negative
"recommend technical design or process changes to improve efficiency, quality, or performance",social media marketing,negative
confer with technical personnel to prepare designs or operational plans,collaboration,positive
confer with technical personnel to prepare designs or operational plans,engineering design,positive
confer with technical personnel to prepare designs or operational plans,customer service,negative
confer with technical personnel to prepare designs or operational plans,accounting,negative
"communicate technical information to suppliers, contractors, or regulatory agencies",financial analysis,positive
"communicate technical information to suppliers, contractors, or regulatory agencies",cost accounting,positive
"communicate technical information to suppliers, contractors, or regulatory agencies",public health,negative
"communicate technical information to suppliers, contractors, or regulatory agencies",psychology,negative
design medical devices or appliances,python programming,positive
design medical devices or appliances,software development,positive
design medical devices or appliances,5g,negative
design medical devices or appliances,biology,negative
research engineering aspects of biological or chemical processes,chemical engineering,positive
research engineering aspects of biological or chemical processes,engineering,positive
research engineering aspects of biological or chemical processes,ai/ml,negative
research engineering aspects of biological or chemical processes,graphic design,negative
devise research or testing protocols,a/b testing,positive
devise research or testing protocols,a/b/n testing,positive
devise research or testing protocols,c++,negative
devise research or testing protocols,art history,negative
develop operational methods or processes that use green materials or emphasize sustainability,raw materials and processes,positive
develop operational methods or processes that use green materials or emphasize sustainability,develop communication processes during change management planning,positive
develop operational methods or processes that use green materials or emphasize sustainability,neuroscience,negative
develop operational methods or processes that use green materials or emphasize sustainability,c++11,negative
develop technical methods or processes,methods,positive
develop technical methods or processes,5d and 3d integration methods,positive
develop technical methods or processes,financial markets,negative
develop technical methods or processes,c/c++,negative
create models of engineering designs or methods,assembly methods,positive
create models of engineering designs or methods,attention models,positive
create models of engineering designs or methods,security analyst,negative
create models of engineering designs or methods,cyberattacks,negative
maintain operational records or records systems,pv systems,positive
maintain operational records or records systems,control systems,positive
maintain operational records or records systems,network security,negative
maintain operational records or records systems,threat,negative
supervise engineering or other technical personnel,aquaculture engineering,positive
supervise engineering or other technical personnel,civil engineering,positive
supervise engineering or other technical personnel,risk,negative
supervise engineering or other technical personnel,information assurance,negative
estimate operational costs,cost estimate,positive
estimate operational costs,sunk costs,positive
estimate operational costs,security,negative
estimate operational costs,governance,negative
estimate time requirements for development or production projects,production,positive
